ScoreID,Student,Instrument,ScoreGroup,Description,Score,RecordingPath
1096735,61786,Trumpet,Major Scales,E,4,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61786.mp3
1096756,61786,Trumpet,Major Scales,A,3,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61786.mp3
1096757,61786,Trumpet,Major Scales,D,4,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61786.mp3
1096758,61786,Trumpet,Sight-Reading,Tone Quality,4,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61786.mp3
1096759,61786,Trumpet,Sight-Reading,Note Accuracy,4,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61786.mp3
1096760,61786,Trumpet,Sight-Reading,Rhythmic Accuracy,3,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61786.mp3
1096761,61786,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",2,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61786.mp3
1047354,61788,Flute,Lyrical Etude,Tone Quality,10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047355,61788,Flute,Lyrical Etude,Note Accuracy,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047356,61788,Flute,Lyrical Etude,Rhythmic Accuracy,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047357,61788,Flute,Lyrical Etude,"Musicallity, Tempo & Style",10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047358,61788,Flute,Technical Etude,Tone Quality,10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047359,61788,Flute,Technical Etude,Note Accuracy,6,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047360,61788,Flute,Technical Etude,Rhythmic Accuracy,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047361,61788,Flute,Technical Etude,"Musicallity, Tempo & Style",10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047362,61788,Flute,Chromatic Scale,Chromatic Scale,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047363,61788,Flute,Major Scales,G,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047364,61788,Flute,Major Scales,C,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047365,61788,Flute,Major Scales,F,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047366,61788,Flute,Major Scales,Bb,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047367,61788,Flute,Major Scales,Eb,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047368,61788,Flute,Major Scales,Ab,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047369,61788,Flute,Major Scales,Db,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047370,61788,Flute,Major Scales,Gb,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047371,61788,Flute,Major Scales,B,6,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047372,61788,Flute,Major Scales,E,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047373,61788,Flute,Major Scales,A,6,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047374,61788,Flute,Major Scales,D,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047375,61788,Flute,Sight-Reading,Tone Quality,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047376,61788,Flute,Sight-Reading,Note Accuracy,4,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047377,61788,Flute,Sight-Reading,Rhythmic Accuracy,4,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1047378,61788,Flute,Sight-Reading,"Musicallity, Tempo & Style",4,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61788.mp3
1074771,61791,Bb Clarinet,Lyrical Etude,Tone Quality,18,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074772,61791,Bb Clarinet,Lyrical Etude,Note Accuracy,10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074773,61791,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074774,61791,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",18,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074775,61791,Bb Clarinet,Technical Etude,Tone Quality,18,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074776,61791,Bb Clarinet,Technical Etude,Note Accuracy,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074777,61791,Bb Clarinet,Technical Etude,Rhythmic Accuracy,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074778,61791,Bb Clarinet,Technical Etude,"Musicallity, Tempo & Style",18,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074779,61791,Bb Clarinet,Chromatic Scale,Chromatic Scale,14,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074780,61791,Bb Clarinet,Major Scales,G,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074781,61791,Bb Clarinet,Major Scales,C,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074782,61791,Bb Clarinet,Major Scales,F,13,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074783,61791,Bb Clarinet,Major Scales,Bb,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074784,61791,Bb Clarinet,Major Scales,Eb,15,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074785,61791,Bb Clarinet,Major Scales,Ab,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074786,61791,Bb Clarinet,Major Scales,Db,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074787,61791,Bb Clarinet,Major Scales,Gb,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074788,61791,Bb Clarinet,Major Scales,B,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074789,61791,Bb Clarinet,Major Scales,E,12,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074790,61791,Bb Clarinet,Major Scales,A,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074791,61791,Bb Clarinet,Major Scales,D,12,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074792,61791,Bb Clarinet,Sight-Reading,Tone Quality,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074793,61791,Bb Clarinet,Sight-Reading,Note Accuracy,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074794,61791,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1074795,61791,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61791.mp3
1047211,61792,Piccolo,Technical Etude,Tone Quality,15,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61792.mp3
1047212,61792,Piccolo,Technical Etude,Note Accuracy,6,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61792.mp3
1047213,61792,Piccolo,Technical Etude,Rhythmic Accuracy,6,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61792.mp3
1047214,61792,Piccolo,Technical Etude,"Musicallity, Tempo & Style",15,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61792.mp3
1047215,61792,Piccolo,Chromatic Scale,Chromatic Scale,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61792.mp3
1047404,61793,Flute,Lyrical Etude,Tone Quality,14,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047405,61793,Flute,Lyrical Etude,Note Accuracy,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047406,61793,Flute,Lyrical Etude,Rhythmic Accuracy,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047407,61793,Flute,Lyrical Etude,"Musicallity, Tempo & Style",15,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047408,61793,Flute,Technical Etude,Tone Quality,14,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047409,61793,Flute,Technical Etude,Note Accuracy,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047410,61793,Flute,Technical Etude,Rhythmic Accuracy,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047411,61793,Flute,Technical Etude,"Musicallity, Tempo & Style",10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047412,61793,Flute,Chromatic Scale,Chromatic Scale,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047413,61793,Flute,Major Scales,G,10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047414,61793,Flute,Major Scales,C,14,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047415,61793,Flute,Major Scales,F,10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047416,61793,Flute,Major Scales,Bb,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047417,61793,Flute,Major Scales,Eb,10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047418,61793,Flute,Major Scales,Ab,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047419,61793,Flute,Major Scales,Db,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047420,61793,Flute,Major Scales,Gb,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047421,61793,Flute,Major Scales,B,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047422,61793,Flute,Major Scales,E,3,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047423,61793,Flute,Major Scales,A,3,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047424,61793,Flute,Major Scales,D,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047425,61793,Flute,Sight-Reading,Tone Quality,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047426,61793,Flute,Sight-Reading,Note Accuracy,2,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047427,61793,Flute,Sight-Reading,Rhythmic Accuracy,2,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1047428,61793,Flute,Sight-Reading,"Musicallity, Tempo & Style",5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61793.mp3
1071746,61795,Percussion,Mallet Etude,Note Accuracy & Tone,6,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071747,61795,Percussion,Mallet Etude,Rhythmic Accuracy,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071748,61795,Percussion,Mallet Etude,"Musicality, Tempo & Style",12,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071749,61795,Percussion,Snare Etude,Rudimental Accuracy,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071750,61795,Percussion,Snare Etude,Rhythmic Accuracy,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071751,61795,Percussion,Snare Etude,"Musicality, Tempo & Style",16,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071752,61795,Percussion,Timpani Etude,Tuning Accuracy,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071753,61795,Percussion,Timpani Etude,Rhythmic Accuracy,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071754,61795,Percussion,Timpani Etude,"Musicality, Tempo, & Style",16,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071755,61795,Percussion,Chromatic Scale,Chromatic Scale,6,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071756,61795,Percussion,Major Scales,G,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071757,61795,Percussion,Major Scales,C,6,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071758,61795,Percussion,Major Scales,F,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071759,61795,Percussion,Major Scales,Bb,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071760,61795,Percussion,Major Scales,Eb,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071761,61795,Percussion,Major Scales,Ab,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071762,61795,Percussion,Major Scales,Db,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071763,61795,Percussion,Major Scales,Gb,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071764,61795,Percussion,Major Scales,B,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071765,61795,Percussion,Major Scales,E,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071766,61795,Percussion,Major Scales,A,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071767,61795,Percussion,Major Scales,D,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071768,61795,Percussion,Reading-Mallet,Note Accuracy & Tone,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071769,61795,Percussion,Reading-Mallet,Rhythmic Accuracy,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071770,61795,Percussion,Reading-Mallet,"Musicality,Tempo, & Style",8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071771,61795,Percussion,Reading-Snare,Note Accuracy & Tone,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071772,61795,Percussion,Reading-Snare,Rhythmic Accuracy,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1071773,61795,Percussion,Reading-Snare,"Musicality, Tempo, & Style",8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61795.mp3
1045387,61828,Alto Saxophone,Lyrical Etude,Tone Quality,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045388,61828,Alto Saxophone,Lyrical Etude,Note Accuracy,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045389,61828,Alto Saxophone,Lyrical Etude,Rhythmic Accuracy,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045390,61828,Alto Saxophone,Lyrical Etude,"Musicallity, Tempo & Style",8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045391,61828,Alto Saxophone,Technical Etude,Tone Quality,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045392,61828,Alto Saxophone,Technical Etude,Note Accuracy,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045393,61828,Alto Saxophone,Technical Etude,Rhythmic Accuracy,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045394,61828,Alto Saxophone,Technical Etude,"Musicallity, Tempo & Style",8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045395,61828,Alto Saxophone,Chromatic Scale,Chromatic Scale,8,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045396,61828,Alto Saxophone,Major Scales,G,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045397,61828,Alto Saxophone,Major Scales,C,3,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045398,61828,Alto Saxophone,Major Scales,F,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045399,61828,Alto Saxophone,Major Scales,Bb,3,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045400,61828,Alto Saxophone,Major Scales,Eb,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045401,61828,Alto Saxophone,Major Scales,Ab,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045402,61828,Alto Saxophone,Major Scales,Db,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045403,61828,Alto Saxophone,Major Scales,Gb,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045404,61828,Alto Saxophone,Major Scales,B,3,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045405,61828,Alto Saxophone,Major Scales,E,7,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045406,61828,Alto Saxophone,Major Scales,A,6,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045407,61828,Alto Saxophone,Major Scales,D,4,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045408,61828,Alto Saxophone,Sight-Reading,Tone Quality,5,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045409,61828,Alto Saxophone,Sight-Reading,Note Accuracy,3,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045410,61828,Alto Saxophone,Sight-Reading,Rhythmic Accuracy,3,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1045411,61828,Alto Saxophone,Sight-Reading,"Musicallity, Tempo & Style",1,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61828.mp3
1104314,61832,Tenor Saxophone,Lyrical Etude,Tone Quality,9,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61832.mp3
1104315,61832,Tenor Saxophone,Lyrical Etude,Note Accuracy,10,https://flmusiced.org/MPAOnline/AudioFiles/2016-2017/AllStateAuditions/61832.mp3
